#BaitName_Condition_old,#BaitName_Condition_new,#APName_old,#APName_new
control,CONTROL,EV 1.Feb,EV1F
group 1,MTHFR,EV 18.Feb,EV18F
group 2,MTHFR_T34A,EV 5.Feb,EV5F
group 3,MTHFR_38to656,MTHFR WT 18.Feb,MTHFR_WT18F
,,MTHFR 38-656 18.Feb,MTHFR_trunc18F
,,MTHFR T34A 18.Feb,MTHFR_T34A18F
,,MTHFR 38-656 1.Feb,MTHFR_trunc1F
,,MTHFR T34A 1.Feb,MTHFR_T34A1F
,,MTHFR WT 1.Feb,MTHFR_WT1F
,,MTHFR 38-656 5.Feb,MTHFR_trunc5F
,,MTHFR WT 5.Feb,MTHFR_WT5F
,,MTHFR T34A 5.Feb,MTHFR_T34A5F
,,EV 1. Feb,EV1F
,,EV 18. Feb,EV18F
,,EV 5. Feb,EV5F
,,MTHFR WT 18. Feb,MTHFR_WT18F
,,MTHFR 38-656 18. Feb,MTHFR_trunc18F
,,MTHFR T34A 18. Feb,MTHFR_T34A18F
,,MTHFR 38-656 1. Feb,MTHFR_trunc1F
,,MTHFR T34A 1. Feb,MTHFR_T34A1F
,,MTHFR WT 1. Feb,MTHFR_WT1F
,,MTHFR 38-656 5. Feb,MTHFR_trunc5F
,,MTHFR WT 5. Feb,MTHFR_WT5F
,,MTHFR T34A 5. Feb,MTHFR_T34A5F
